9,GOWN
10,SLIPPERS
11,TISSUE PAPER
12,TOOTH PASTE
13,TOOTH BRUSH
14,BED PAN
15,FACE MASK
16,FLEXI MASK
17,HAND HOLDER
18,SPUTUM CUP
19,DISINFECTANT LOTIONS
20,LUXURY TAX
21,HVAC
22,HOUSE KEEPING CHARGES
23,AIR CONDITIONER CHARGES
24,IM IV INJECTION CHARGES
25,CLEAN SHEET
26,BLANKET/WARMER BLANKET
27,ADMISSION KIT
28,DIABETIC CHART CHARGES
29,DOCUMENTATION CHARGES / ADMINISTRATIVE EXPENSES
30,DISCHARGE PROCEDURE CHARGES
31,DAILY CHART CHARGES
32,ENTRANCE PASS / VISITORS PASS CHARGES
33,EXPENSES RELATED TO PRESCRIPTION ON DISCHARGE
34,FILE OPENING CHARGES
35,INCIDENTAL EXPENSES / MISC. CHARGES (NOT EXPLAINED)
36,PATIENT IDENTIFICATION BAND / NAME TAG
37,PULSEOXYMETER CHARGES
