SI No.,Item
1,ADMISSION/REGISTRATION CHARGES
2,HOSPITALISATION FOR EVALUATION/ DIAGNOSTIC PURPOSE
3,URINE CONTAINER
4,BLOOD RESERVATION CHARGESANDANTE NATAL BOOKING CHARGES
5,BIPAP MACHINE
6,CPAP/ CAPD EQUIPMENTS
7,INFUSION PUMP- COST
8,HYDROGEN PEROXIDE\SPIRIT\ DISINFECTANTS ETC
9,NUTRITION PLANNING CHARGES - DIETICIAN CHARGES- DIET CHARGES
10,HIV KIT
11,ANTISEPTIC MOUTHWASH
12,LOZENGES
13,MOUTH PAINT
14,VACCINATION CHARGES
15,ALCOHOL SWABES
16,SCRUB SOLUTION/STERILLIUM
17,Glucometer & Strips
18,URINE BAG
