SI No,Item
1,BABY FOOD
2,BABY UTILITIES CHARGES
3,BEAUTY SERVICES
4,BELTS/ BRACES
5,BUDS
6,COLD PACK/HOT PACK
7,CARRY BAGS
8,EMAIL / INTERNET CHARGES
9,FOOD CHARGES (OTHER THAN PATIENT's DIET PROVIDED BY HOSPITAL)
10,LEGGING S
11,LAUNDRY CHARGES
12,MINERAL WATER
13,SANITARY PAD
14,TELEPHONE CHARGES
15,GUEST SERVICES
16,CREPE BANDAGE
17,DIAPER OFANYTYPE
18,EYELET COLLAR
19,SLINGS
20,BLOOD GROUPINGAND CROSS MATCHING OF DONORS SAMPLES
21,SERVICE CHARGES WHERE NURSING CHARGEALSO CHARGED
22,Television Charges
23,SURCHARGES
24,ATTENDANT CHARGES
25,EXTRA DIET OF PATIENT (OTHER THAN THAT WHICH FORMS PART OF BED CHARGE)
26,BIRTH CERTIFICATE
27,CERTIFICATE CHARGES
28,COURIER CHARGES
29,CONVEYANCE CHARGES
30,MEDICAL CERTIFICATE
31,MEDICAL RECORDS
32,PHOTOCOPY ES CHARGES
33,MORTUARY CHARGES
34,WALKING AIDS CHARGES
35,OXYGEN CYLINDER (FOR USAGE OUTSIDE THE HOSPITAL)
36,SPACER
37,SPIROMETRE
38,NEBULIZE R KIT
39,STEAM INHALER
40,ARMSLING
